 5, -144.38656616210938, [0.07595213 0.20780683 1.         0.32662344 0.47975975],  [0.03630013 0.12714931 1.         0.11537088 0.6141539 ], [0.0226614  0.2902044  1.         0.21767676 0.30288312] 
 5, -161.6590118408203, [0.04577393 0.2669075  1.         0.25196683 0.36680114],  [0.15388826 0.44303906 1.         0.1994493  0.3734169 ], [0.05311661 0.21321726 1.         0.17203695 0.35431954] 
 5, -152.28526306152344, [0.10638992 0.4282751  1.         0.46802092 0.47810686],  [0.11618722 0.36868978 1.         0.23611416 0.4274568 ], [0.1036549  0.2763689  1.         0.33906844 0.62203944] 
 5, -149.41204833984375, [0.0584338  0.17129484 1.         0.2713278  0.3685249 ],  [0.05390974 0.13398601 1.         0.18586041 0.3629188 ], [0.19250403 0.29254714 1.         0.25093463 0.56874615] 
 5, -161.66574096679688, [0.1051409  0.53470206 1.         0.4710791  0.9030244 ],  [0.12740651 0.24891779 0.9879008  0.45460883 1.        ], [0.10525998 0.42234415 0.9206115  0.57282615 1.        ] 
 5, -137.95645141601562, [0.12577687 0.26768926 1.         0.47015628 0.54887617],  [0.02037145 0.11098945 1.         0.10556629 0.34365335], [0.05137333 0.18623014 1.         0.09091484 0.86848766] 
 5, -142.2841033935547, [0.074694   0.3063995  1.         0.32588965 0.332049  ],  [0.08162499 0.0996921  1.         0.2818582  0.3420015 ], [0.03846629 0.27369413 1.         0.24097224 0.22171298] 
 5, -161.63262939453125, [0.1132955  0.28158328 1.         0.3768168  0.39480963],  [0.0938145  0.37375733 1.         0.3109185  0.5494035 ], [0.052658   0.21545821 1.         0.2378955  0.4178729 ] 
 5, -163.7032928466797, [0.11087394 0.3334321  1.         0.40423244 0.4931185 ],  [0.0597335  0.37518033 1.         0.314839   0.3315813 ], [0.09234039 0.25329232 1.         0.22170551 0.5169968 ] 
 5, -163.06651306152344, [0.09581178 0.53943866 1.         0.34813774 0.8648684 ],  [0.05865754 0.40602964 1.         0.32301953 0.39209583], [0.06547388 0.43740252 1.         0.5348575  0.4676824 ] 
 5, -146.80081176757812, [0.0952121  0.20380569 1.         0.19128998 0.4297301 ],  [0.204614   0.17648181 1.         0.16990837 0.3643177 ], [0.08334727 0.27165693 1.         0.32694945 0.62399083] 
 5, -155.03372192382812, [0.05058641 0.3098575  1.         0.31120214 0.4926088 ],  [0.06561726 0.15305144 1.         0.36652032 0.45540717], [0.06133082 0.14619362 1.         0.16835372 0.16697064] 
 5, -161.3092803955078, [0.05131473 0.31552425 1.         0.19595863 0.40193474],  [0.05665983 0.3915628  1.         0.26594567 0.23506035], [0.03112679 0.14454083 1.         0.11828423 0.5325999 ] 
 5, -167.91592407226562, [0.08500391 0.24844402 1.         0.31923702 0.42252305],  [0.06624738 0.3283028  1.         0.32118502 0.4914945 ], [0.11259897 0.26076132 1.         0.25784743 0.42950612] 
 5, -157.908203125, [0.07344142 0.3564072  1.         0.36390734 0.42201695],  [0.10444412 0.4595239  1.         0.38243705 0.5572385 ], [0.04567452 0.22178762 1.         0.22006243 0.3704471 ] 
 5, -150.6287841796875, [0.13701707 0.40932372 1.         0.6570336  0.65279347],  [0.11484522 0.38303366 1.         0.38434014 0.37239823], [0.14292872 0.27932075 1.         0.4534873  0.41101423] 
 5, -146.86476135253906, [0.14303535 0.4748112  1.         0.45804787 0.48238277],  [0.05160923 0.33079916 1.         0.17734565 0.50838983], [0.1831213  0.42583984 1.         0.31964388 0.31824687] 
 5, -139.1042938232422, [0.04503329 0.35138124 1.         0.31287155 0.44303837],  [0.05136644 0.11490053 1.         0.13194005 0.44532207], [0.13792299 0.3503726  1.         0.24081863 0.59036946] 
 5, -149.2726593017578, [0.09035403 0.22391061 1.         0.33993253 0.36719492],  [0.16121206 0.33770826 1.         0.61098236 0.5138288 ], [0.02330334 0.21278106 1.         0.5351381  0.24448967] 
 5, -143.48406982421875, [0.10159095 0.516301   1.         0.40462568 0.82882786],  [0.08377661 0.26054505 1.         0.1718181  0.49509147], [0.0733998  0.32948196 1.         0.24933195 0.27759862] 
 5, -163.67591857910156, [0.11424505 0.28321    1.         0.21430136 0.558766  ],  [0.08901192 0.29509562 1.         0.2283765  0.4456101 ], [0.1220596  0.36825824 1.         0.06280882 0.7559418 ] 
 5, -138.53968811035156, [0.10221609 0.2956774  1.         0.36120987 0.5588748 ],  [0.0454414  0.47256845 1.         0.48552468 0.6557514 ], [0.10904968 0.41502    1.         0.22326803 0.6198151 ] 
 5, -153.29727172851562, [0.12792665 0.3050317  1.         0.28444505 0.27702647],  [0.1050326  0.25426516 1.         0.22686209 0.37258935], [0.02932922 0.27835742 1.         0.29596373 0.4088575 ] 
 5, -147.7903289794922, [0.07960653 0.22380988 1.         0.24121068 0.51733553],  [0.08815546 0.44604674 1.         0.5972478  0.42245314], [0.11822109 0.2875816  1.         0.23397157 0.48322505] 
 5, -160.2986602783203, [0.0735492  0.27302822 1.         0.3554968  0.6423063 ],  [0.02945371 0.39318472 1.         0.4384865  0.48500416], [0.03550646 0.15584019 1.         0.19804345 0.5774321 ] 
 5, -158.79151916503906, [0.09829051 0.29760873 1.         0.25286725 0.36203432],  [0.17837591 0.20138696 1.         0.609302   0.3793507 ], [0.01857518 0.26616448 1.         0.3437048  0.52926874] 
 5, -143.2520294189453, [0.05662064 0.29344627 1.         0.17160778 0.56127197],  [0.11832351 0.17065667 1.         0.20735386 0.5920467 ], [0.17595094 0.33064002 1.         0.15906012 0.4048192 ] 
 5, -159.10023498535156, [0.1285323  0.33929807 1.         0.34224924 0.6018853 ],  [0.09381216 0.23515159 1.         0.4442012  0.89266676], [0.09390814 0.2641425  1.         0.30702645 0.6980805 ] 
 5, -166.29486083984375, [0.05305371 0.22181611 1.         0.27533704 0.582717  ],  [0.12958397 0.3012052  1.         0.36769906 0.774746  ], [0.06415839 0.12110281 1.         0.1800004  0.45860055] 
 5, -168.31016540527344, [0.07674751 0.33007425 1.         0.27875492 0.58566177],  [0.07230486 0.44208252 1.         0.58914095 0.6339615 ], [0.12974602 0.34518734 1.         0.30217594 0.29260638] 
 5, -153.2642822265625, [0.05650847 0.2329913  1.         0.19881502 0.5834973 ],  [0.02892321 0.14552563 1.         0.28341177 0.36484408], [0.01130498 0.17350267 1.         0.13133357 0.49687117] 
 5, -142.03704833984375, [0.04775976 0.24771392 1.         0.22149955 0.5730412 ],  [0.05092483 0.18529868 1.         0.23696539 0.48904002], [0.14879793 0.3384985  1.         0.41360626 0.6403325 ] 
 5, -151.70782470703125, [0.05784997 0.28551182 1.         0.25262865 0.43025222],  [0.08216365 0.36770433 1.         0.29186028 0.26828232], [0.01992194 0.5410522  1.         0.21155706 0.5201051 ] 
 5, -143.7788543701172, [0.0885295  0.3057379  1.         0.3936283  0.37297797],  [0.12527011 0.53178    1.         0.6333966  0.41077593], [0.11076422 0.2708062  1.         0.39597443 0.7628936 ] 
 5, -146.74722290039062, [0.11986711 0.48345914 1.         0.3907286  0.39334795],  [0.32343042 0.4581988  1.         0.66497886 0.6078477 ], [0.10206402 0.46760014 1.         0.27847168 0.48407763] 
 5, -162.45947265625, [0.08669283 0.37949806 1.         0.3412545  0.557259  ],  [0.03895647 0.19465159 1.         0.2949213  0.5013719 ], [0.05514908 0.17517723 1.         0.2890141  0.30197412] 
 5, -156.7273712158203, [0.09242972 0.26886848 1.         0.2951834  0.3886574 ],  [0.03585781 0.15969293 1.         0.29586858 0.39228982], [0.05622235 0.5467347  1.         0.6101228  0.3519317 ] 
 5, -142.02146911621094, [0.09428094 0.45289707 1.         0.2891526  0.5047896 ],  [0.1285454  0.36135772 1.         0.5961218  0.97350556], [0.02982676 0.21325728 1.         0.29141006 0.37439346] 
 5, -149.31069946289062, [0.04528977 0.1786865  1.         0.24986294 0.5438778 ],  [0.03439225 0.24533013 1.         0.32232586 0.8031256 ], [0.11001375 0.31037974 1.         0.14513047 0.77109414] 
 5, -134.96688842773438, [0.14279352 0.3377968  1.         0.3242714  0.72933817],  [0.10917757 0.18325886 1.         0.16304092 0.81333596], [0.08596552 0.27980968 1.         0.33579797 0.5438383 ] 
 5, -153.4983367919922, [0.10481011 0.2507903  1.         0.29724932 0.3460477 ],  [0.04286997 0.3648185  1.         0.29448617 0.5012092 ], [0.0617042  0.13497752 1.         0.07819647 0.21039975] 
 5, -151.35479736328125, [0.1021084  0.3349688  1.         0.35810015 0.69847465],  [0.31875882 0.42569754 1.         0.5037525  0.97965604], [0.08863159 0.24977022 0.83551216 0.44220015 1.        ] 
 5, -166.38641357421875, [0.0763811 0.2833708 1.        0.3546022 0.478876 ],  [0.06925951 0.37438643 1.         0.34703192 0.5282424 ], [0.06006888 0.28570664 1.         0.20916831 0.2941962 ] 
 5, -172.27444458007812, [0.10900476 0.18300198 1.         0.20434637 0.41021606],  [0.19027999 0.23147418 1.         0.31056002 0.4718022 ], [0.12546253 0.23213279 1.         0.19610341 0.7814179 ] 
 5, -149.2906036376953, [0.12463612 0.2970194  1.         0.26391807 0.57535475],  [0.14024211 0.3654468  1.         0.26241484 0.38684094], [0.08984299 0.17670563 1.         0.22420792 0.50119257] 
 5, -149.23223876953125, [0.10620879 0.35695153 1.         0.40107736 0.5297479 ],  [0.07237527 0.5384354  1.         0.14897057 0.5661336 ], [0.2494357  0.367216   1.         0.3111795  0.56329566] 
 5, -151.82586669921875, [0.1520202  0.63385004 1.         0.38680008 0.7671992 ],  [0.20780347 0.50014025 1.         0.4784068  0.6186646 ], [0.17400154 0.23613524 1.         0.21885726 0.5517103 ] 
 5, -158.08270263671875, [0.09219877 0.3207288  1.         0.29714268 0.7700403 ],  [0.05883877 0.42266592 1.         0.30817693 0.455985  ], [0.07504274 0.3515154  1.         0.29193464 0.6203676 ] 
 5, -159.7444305419922, [0.08713271 0.51643586 1.         0.33558014 0.61942863],  [0.10076075 0.42732137 1.         0.6214768  0.85466385], [0.05391314 0.5149795  0.88319397 0.15619847 1.        ] 
 5, -161.73023986816406, [0.09343513 0.31776923 1.         0.38229716 0.34858444],  [0.17935185 0.588737   1.         0.6378438  0.40630376], [0.06858483 0.19131029 1.         0.20871776 0.45962527] 
 5, -157.14736938476562, [0.07600476 0.30411068 1.         0.35337868 0.5365147 ],  [0.08040729 0.3296693  1.         0.3014165  0.5055755 ], [0.02985581 0.16088389 1.         0.1347797  0.29967448] 
 5, -163.21804809570312, [0.03646486 0.22967169 1.         0.19959638 0.49083647],  [0.16520664 0.22479503 1.         0.6473591  0.3570273 ], [0.04356774 0.19555144 1.         0.23434778 0.3654614 ] 
